Team,Player,Pos,Ht,Wt,Birth Date,Country,Exp,College
Boston Celtics,Tacko Fall  (TW),C,7-5,311,December 10 1995,sn,1,Central Florida
Boston Celtics,Kemba Walker,G,6-0,184,May 8 1990,us,9,UConn
Boston Celtics,Jayson Tatum,F,6-8,210,March 3 1998,us,3,Duke
Boston Celtics,Payton Pritchard,G,6-2,190,January 28 1998,us,R,Oregon
Boston Celtics,Carsen Edwards,G,5-11,200,March 12 1998,us,1,Purdue
Boston Celtics,Semi Ojeleye,F,6-6,240,December 5 1994,us,3,Duke SMU
Boston Celtics,Aaron Nesmith,G-F,6-6,213,October 16 1999,us,R,Vanderbilt
Boston Celtics,Daniel Theis,C,6-8,245,April 4 1992,de,3,
Boston Celtics,Robert Williams,C-F,6-8,237,October 17 1997,us,2,Texas A&M
Boston Celtics,Jeff Teague,G,6-3,195,June 10 1988,us,11,Wake Forest
Boston Celtics,Javonte Green,F,6-4,205,July 23 1993,us,1,Radford
Boston Celtics,Marcus Smart,G,6-3,220,March 6 1994,us,6,Oklahoma State
Boston Celtics,Tristan Thompson,F-C,6-9,254,March 13 1991,ca,9,Texas
Boston Celtics,Jaylen Brown,F-G,6-6,223,October 24 1996,us,4,California
Boston Celtics,Romeo Langford,G,6-4,216,October 25 1999,us,1,Indiana
Boston Celtics,Tremont Waters  (TW),G,5-10,175,January 10 1998,us,1,LSU
Boston Celtics,Grant Williams,F,6-6,236,November 30 1998,us,1,Tennessee
Brooklyn Nets,Jeff Green,F,6-8,235,August 28 1986,us,12,Georgetown
Brooklyn Nets,Kevin Durant,F-G,6-10,240,September 29 1988,us,12,Texas
Brooklyn Nets,Jarrett Allen,C-F,6-11,243,April 21 1998,us,3,Texas
Brooklyn Nets,Joe Harris,G,6-6,220,September 6 1991,us,6,Virginia
Brooklyn Nets,DeAndre Jordan,C,6-11,265,July 21 1988,us,12,Texas A&M
Brooklyn Nets,Landry Shamet,G,6-4,190,March 13 1997,us,2,Wichita State
Brooklyn Nets,Tyler Johnson,G,6-3,186,May 7 1992,us,6,Fresno State
Brooklyn Nets,Kyrie Irving,G,6-2,195,March 23 1992,au,9,Duke
Brooklyn Nets,Bruce Brown,G,6-4,202,August 15 1996,us,2,Miami (FL)
Brooklyn Nets,Reggie Perry  (TW),F-C,6-10,250,March 21 2000,us,R,Mississippi State
Brooklyn Nets,Caris LeVert,G-F,6-6,205,August 25 1994,us,4,Michigan
