Round Number,Date,Location,Home Team,Away Team,Result
1,23/12/2020 00:00,Barclays Center,Brooklyn Nets,Golden State Warriors,
1,23/12/2020 03:00,Staples Center,Los Angeles Lakers,Los Angeles Clippers,
1,24/12/2020 00:00,Rocket Mortgage FieldHouse,Cleveland Cavaliers,Charlotte Hornets,
1,24/12/2020 00:00,Bankers Life Fieldhouse,Indiana Pacers,New York Knicks,
1,24/12/2020 00:00,Amway Center,Orlando Magic,Miami Heat,
1,24/12/2020 00:00,Wells Fargo Center,Philadelphia 76ers,Washington Wizards,
1,24/12/2020 00:30,TD Garden,Boston Celtics,Milwaukee Bucks,
1,24/12/2020 00:30,Amalie Arena,Toronto Raptors,New Orleans Pelicans,
1,24/12/2020 01:00,United Center,Chicago Bulls,Atlanta Hawks,
1,24/12/2020 01:00,Toyota Center,Houston Rockets,Oklahoma City Thunder,
1,24/12/2020 01:00,FedExForum,Memphis Grizzlies,San Antonio Spurs,
1,24/12/2020 01:00,Target Center,Minnesota Timberwolves,Detroit Pistons,
1,24/12/2020 02:00,Ball Arena,Denver Nuggets,Sacramento Kings,
1,24/12/2020 03:00,Moda Center,Portland Trail Blazers,Utah Jazz,
1,24/12/2020 03:30,PHX Arena,Phoenix Suns,Dallas Mavericks,
1,25/12/2020 17:00,AmericanAirlines Arena,Miami Heat,New Orleans Pelicans,
1,25/12/2020 19:30,Fiserv Forum,Milwaukee Bucks,Golden State Warriors,
1,25/12/2020 22:00,TD Garden,Boston Celtics,Brooklyn Nets,
1,26/12/2020 01:00,Staples Center,Los Angeles Lakers,Dallas Mavericks,
1,26/12/2020 03:30,Ball Arena,Denver Nuggets,Los Angeles Clippers,
1,26/12/2020 22:00,FedExForum,Memphis Grizzlies,Atlanta Hawks,
1,27/12/2020 00:00,Spectrum Center,Charlotte Hornets,Oklahoma City Thunder,
1,27/12/2020 00:00,Little Caesars Arena,Detroit Pistons,Cleveland Cavaliers,
1,27/12/2020 00:00,Capital One Arena,Washington Wizards,Orlando Magic,
1,27/12/2020 00:30,Madison Square Garden,New York Knicks,Philadelphia 76ers,
1,27/12/2020 01:00,United Center,Chicago Bulls,Indiana Pacers,
1,27/12/2020 01:30,AT&T Center,San Antonio Spurs,Toronto Raptors,
1,27/12/2020 02:00,Vivint Smart Home Arena,Utah Jazz,Minnesota Timberwolves,
1,27/12/2020 03:00,Moda Center,Portland Trail Blazers,Houston Rockets,
1,27/12/2020 03:00,Golden 1 Center,Sacramento Kings,Phoenix Suns,
1,27/12/2020 20:30,Staples Center,Los Angeles Clippers,Dallas Mavericks,
1,28/12/2020 00:00,Spectrum Center,Charlotte Hornets,Brooklyn Nets,
1,28/12/2020 00:00,Capital One Arena,Washington Wizards,Orlando Magic,
1,28/12/2020 00:00,Smoothie King Center,New Orleans Pelicans,San Antonio Spurs,
1,28/12/2020 00:30,Rocket Mortgage FieldHouse,Cleveland Cavaliers,Philadelphia 76ers,
1,28/12/2020 00:30,Madison Square Garden,New York Knicks,Milwaukee Bucks,
1,28/12/2020 01:00,Bankers Life Fieldhouse,Indiana Pacers,Boston Celtics,
1,28/12/2020 01:00,United Center,Chicago Bulls,Golden State Warriors,
1,28/12/2020 02:00,Golden 1 Center,Sacramento Kings,Phoenix Suns,
1,28/12/2020 03:00,Staples Center,Los Angeles Lakers,Minnesota Timberwolves,
1,29/12/2020 00:30,State Farm Arena,Atlanta Hawks,Detroit Pistons,
1,29/12/2020 00:30,Barclays Center,Brooklyn Nets,Memphis Grizzlies,
1,29/12/2020 01:00,Chesapeake Energy Arena,Oklahoma City Thunder,Utah Jazz,
1,29/12/2020 02:00,Ball Arena,Denver Nuggets,Houston Rockets,
1,29/12/2020 03:00,Staples Center,Los Angeles Lakers,Portland Trail Blazers,
2,30/12/2020 00:00,Rocket Mortgage FieldHouse,Cleveland Cavaliers,New York Knicks,
2,30/12/2020 00:00,Little Caesars Arena,Detroit Pistons,Golden State Warriors,
2,30/12/2020 00:00,Bankers Life Fieldhouse,Indiana Pacers,Boston Celtics,
2,30/12/2020 00:00,Wells Fargo Center,Philadelphia 76ers,Toronto Raptors,
2,30/12/2020 00:00,Capital One Arena,Washington Wizards,Chicago Bulls,
2,30/12/2020 00:30,AmericanAirlines Arena,Miami Heat,Milwaukee Bucks,
2,30/12/2020 01:00,Chesapeake Energy Arena,Oklahoma City Thunder,Orlando Magic,
2,30/12/2020 03:00,PHX Arena,Phoenix Suns,New Orleans Pelicans,
2,30/12/2020 03:00,Staples Center,Los Angeles Clippers,Minnesota Timberwolves,
2,30/12/2020 03:00,Golden 1 Center,Sacramento Kings,Denver Nuggets,
2,31/12/2020 00:30,TD Garden,Boston Celtics,Memphis Grizzlies,
2,31/12/2020 00:30,Barclays Center,Brooklyn Nets,Atlanta Hawks,
2,31/12/2020 00:30,AmericanAirlines Arena,Miami Heat,Milwaukee Bucks,
2,31/12/2020 01:30,American Airlines Center,Dallas Mavericks,Charlotte Hornets,
2,31/12/2020 01:30,AT&T Center,San Antonio Spurs,Los Angeles Lakers,
2,31/12/2020 03:00,Staples Center,Los Angeles Clippers,Portland Trail Blazers,
2,31/12/2020 20:00,Bankers Life Fieldhouse,Indiana Pacers,Cleveland Cavaliers,
2,31/12/2020 22:00,Capital One Arena,Washington Wizards,Chicago Bulls,
2,31/12/2020 23:30,Amway Center,Orlando Magic,Philadelphia 76ers,
2,01/01/2021 00:00,Toyota Center,Houston Rockets,Sacramento Kings,
2,01/01/2021 00:30,Amalie Arena,Toronto Raptors,New York Knicks,
2,01/01/2021 01:00,Chesapeake Energy Arena,Oklahoma City Thunder,New Orleans Pelicans,
2,01/01/2021 02:00,Vivint Smart Home Arena,Utah Jazz,Phoenix Suns,
2,02/01/2021 00:00,Spectrum Center,Charlotte Hornets,Memphis Grizzlies,
2,02/01/2021 00:00,Little Caesars Arena,Detroit Pistons,Boston Celtics,
2,02/01/2021 00:00,American Airlines Center,Dallas Mavericks,Miami Heat,
2,02/01/2021 00:30,Barclays Center,Brooklyn Nets,Atlanta Hawks,
2,02/01/2021 01:00,Fiserv Forum,Milwaukee Bucks,Chicago Bulls,
2,02/01/2021 01:00,Target Center,Minnesota Timberwolves,Washington Wizards,
2,02/01/2021 01:00,AT&T Center,San Antonio Spurs,Los Angeles Lakers,
2,02/01/2021 02:00,Ball Arena,Denver Nuggets,Phoenix Suns,
2,02/01/2021 02:00,Vivint Smart Home Arena,Utah Jazz,Los Angeles Clippers,
2,02/01/2021 03:30,Chase Center,Golden State Warriors,Portland Trail Blazers,
2,02/01/2021 22:00,Toyota Center,Houston Rockets,Sacramento Kings,
2,03/01/2021 00:00,Bankers Life Fieldhouse,Indiana Pacers,New York Knicks,
2,03/01/2021 00:00,Amway Center,Orlando Magic,Oklahoma City Thunder,
2,03/01/2021 00:00,Wells Fargo Center,Philadelphia 76ers,Charlotte Hornets,
2,03/01/2021 00:30,State Farm Arena,Atlanta Hawks,Cleveland Cavaliers,
2,03/01/2021 00:30,Smoothie King Center,New Orleans Pelicans,Toronto Raptors,
2,03/01/2021 20:00,Little Caesars Arena,Detroit Pistons,Boston Celtics,
2,03/01/2021 23:00,Barclays Center,Brooklyn Nets,Washington Wizards,
2,03/01/2021 23:00,FedExForum,Memphis Grizzlies,Los Angeles Lakers,
2,04/01/2021 00:00,Target Center,Minnesota Timberwolves,Denver Nuggets,
2,04/01/2021 00:00,AT&T Center,San Antonio Spurs,Utah Jazz,
2,04/01/2021 01:00,United Center,Chicago Bulls,Dallas Mavericks,
2,04/01/2021 01:00,PHX Arena,Phoenix Suns,Los Angeles Clippers,
2,04/01/2021 01:30,Chase Center,Golden State Warriors,Portland Trail Blazers,
